title| total_time |yields|ingredients|instructions|calories|nutrients|category
Slow Cooker Buffalo Chicken Sandwiches|370|6 servings|['4 skinless, boneless chicken breast halves', '1 (17.5 fluid ounce) bottle Buffalo wing sauce, divided', '½ (1 ounce) package dry ranch salad dressing mix', '2 tablespoons butter', '6 hoagie rolls, split lengthwise']|Gather all ingredients.Place chicken breasts into the slow cooker; pour in 3/4 of the wing sauce and ranch dressing mix.Cover and cook on Low for 6 to 7 hours.Shred chicken in the cooker with two forks. Stir in butter.Pile shredded chicken and sauce onto hoagie rolls. Serve with remaining Buffalo sauce.Serve and enjoy!|578 kcal|{'calories': '578 kcal', 'carbohydrateContent': '81 g', 'cholesterolContent': '54 mg', 'fiberContent': '4 g', 'proteinContent': '31 g', 'saturatedFatContent': '4 g', 'sodiumContent': '2902 mg', 'sugarContent': '5 g', 'fatContent': '14 g', 'unsaturatedFatContent': '0 g'}|Dinner,Lunch
Prosciutto-Wrapped Pork Tenderloin with Crispy Sage|50|4 servings|['1 pound pork tenderloin', 'salt and ground black pepper to taste', '1 bunch fresh sage, leaves removed and stems discarded, divided', '6 ounces prosciutto', '1 tablespoon olive oil, or more as needed']|Preheat oven to 350 degrees F (175 degrees C).Lightly season pork with salt and black pepper. Arrange about 6 sage leaves over tenderloin. Wrap prosciutto around tenderloin and sage, overlapping prosciutto slightly; wrap in plastic wrap and refrigerate to allow prosciutto to set on pork tenderloin, 5 to 10 minutes. Remove plastic wrap.Heat olive oil in a skillet over medium heat. Fry wrapped tenderloin in the hot oil until prosciutto is crispy and lightly browned on all sides, 8 to 10 minutes. Transfer wrapped tenderloin to a baking dish, reserving oil in the skillet.Bake tenderloin in the preheated oven until pork is cooked through, about 20 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).Heat reserved oil in the skillet over medium heat; fry remaining sage leaves until crispy, adding more oil as needed, about 5 minutes.Slice tenderloin and serve with crispy sage leaves.|294 kcal|{'calories': '294 kcal', 'carbohydrateContent': '1 g', 'cholesterolContent': '86 mg', 'proteinContent': '26 g', 'saturatedFatContent': '7 g', 'sodiumContent': '900 mg', 'fatContent': '20 g', 'unsaturatedFatContent': '0 g'}|Dinner
Tater Tot Casserole|45|4 servings|['1 pound ground beef', '1 (10.5 ounce) can condensed cream of mushroom soup', 'salt and ground black pepper to taste', '1 (16 ounce) package frozen tater tots', '2 cups shredded Cheddar cheese']|Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C).Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until completely browned and crumbly, 7 to 10 minutes. Stir in condensed soup; season with salt and black pepper.Transfer beef mixture to a 9x13-inch baking dish; layer tater tots evenly on top and sprinkle with Cheddar cheese.Bake in the preheated oven until tater tots are golden brown and hot, 30 to 45 minutes.Serve and enjoy!|345 kcal|{'calories': '345 kcal', 'carbohydrateContent': '17 g', 'cholesterolContent': '65 mg', 'fiberContent': '1 g', 'proteinContent': '19 g', 'saturatedFatContent': '10 g', 'sodiumContent': '700 mg', 'sugarContent': '1 g', 'fatContent': '24 g', 'unsaturatedFatContent': '0 g'}|Dinner
Simple Deep Fried Turkey|60|12 servings|['3 ½ gallons peanut oil for frying', '1 (10 pound) whole turkey, neck and giblets removed', '1 tablespoon salt, or to taste', '1 tablespoon ground black pepper, or to taste']|Heat oil in a large stockpot or turkey fryer to 350 degrees F (175 degrees C). Make sure the fryer is located outdoors in a safe area, preferably on dirt or pavement, and far away from buildings, wooden decks, or other objects. Keep a fire extinguisher handy, just in case.Ensure that the turkey is completely thawed. Cut any extra skin away from the neck area and make sure neck hole is at least 1 inch in diameter.Pat the bird completely dry with paper towels, then rub liberally with salt and pepper on both the outside and the inside.Place turkey into a drain basket, neck-side first. Working slowly and carefully, gently lower the basket into the hot oil to completely cover the turkey.Maintain the temperature of the oil at 350 degrees F (175 degrees C), and cook turkey for 3 1/2 minutes per pound, about 35 minutes.Carefully remove basket from oil, and drain turkey. Insert a meat thermometer into the thickest part of the thigh; the internal temperature must be 180 degrees F (80 degrees C). Allow to rest for 15 minutes before slicing.|568 kcal|{'calories': '568 kcal', 'carbohydrateContent': '0 g', 'cholesterolContent': '224 mg', 'fiberContent': '0 g', 'proteinContent': '77 g', 'saturatedFatContent': '8 g', 'sodiumContent': '768 mg', 'fatContent': '27 g', 'unsaturatedFatContent': '0 g'}|Dinner
Simple Baked Chicken Breasts|35|4 servings|['4 (5 ounce) skinless, boneless chicken breast halves', '2 tablespoons olive oil', '½ teaspoon coarse sea salt, or to taste', "1 pinch Creole seasoning (such as Tony Chachere's®), or more to taste", '1 tablespoon chicken broth, or more to taste']|Gather all ingredients.Preheat the oven to 400 degrees F (200 degrees C).Rub chicken breasts with olive oil and sprinkle both sides with salt and Creole seasoning. Place chicken in a broiler pan.Bake in the preheated oven for 10 minutes. Flip chicken and cook until no longer pink in the center and the juices run clear, about 15 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).Remove chicken to a plate.Pour chicken broth into the pan and scrape any browned bits off the bottom with a flat-edged wooden spatula. Add more broth if needed to dislodge the browned bits, but not too much or it will be watery.To serve, drizzle the pan sauce over the chicken.|191 kcal|{'calories': '191 kcal', 'carbohydrateContent': '0 g', 'cholesterolContent': '67 mg', 'proteinContent': '25 g', 'saturatedFatContent': '2 g', 'sodiumContent': '1418 mg', 'fatContent': '10 g', 'unsaturatedFatContent': '0 g'}|Dinner
World's Best Honey Garlic Pork Chops|30|6 servings|['½ cup ketchup', '2 ⅔ tablespoons honey', '2 tablespoons low-sodium soy sauce', '2 cloves garlic, crushed', '6 (4 ounce) (1-inch thick) pork chops']|Preheat grill for medium heat and lightly oil the grate. Gather ingredients.Whisk ketchup, honey, soy sauce, and garlic together in a bowl to make a glaze.Sear the pork chops on both sides on the preheated grill. Lightly brush glaze onto each side of the chops as they cook; grill until no longer pink in the center, about 7 to 9 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).Serve hot and enjoy!|290 kcal|{'calories': '290 kcal', 'carbohydrateContent': '14 g', 'cholesterolContent': '95 mg', 'fiberContent': '0 g', 'proteinContent': '30 g', 'saturatedFatContent': '4 g', 'sodiumContent': '419 mg', 'sugarContent': '12 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}|Entree,Dinner
Pan-Seared Tilapia|15|4 servings|['4 (4 ounce) tilapia fillets', 'salt and ground black pepper to taste', '½ cup all-purpose flour', '1 tablespoon olive oil', '2 tablespoons unsalted butter, melted', '1 tablespoon lemon juice, or to taste (Optional)', '1 teaspoon chopped fresh flat-leaf parsley, or to taste (Optional)', '½ teaspoon chopped fresh thyme, or to taste (Optional)']|Rinse tilapia fillets in cold water and pat dry with paper towels. Season both sides of each fillet with salt and pepper.Place flour in a shallow dish. Gently press each fillet into the flour to coat and shake off any excess.Heat olive oil in a large skillet over medium-high heat. Cook tilapia fillets in the hot oil, in batches if necessary, until fish flakes easily with a fork, about 4 minutes per side.Brush melted butter onto the tilapia fillets in the last minute before removing from the skillet.Drizzle fillets with lemon juice and garnish with parsley and thyme.|249 kcal|{'calories': '249 kcal', 'carbohydrateContent': '12 g', 'cholesterolContent': '56 mg', 'fiberContent': '0 g', 'proteinContent': '25 g', 'saturatedFatContent': '5 g', 'sodiumContent': '51 mg', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}|Dinner
Easy Baked Chicken Thighs|35|4 servings|['4 chicken thighs', '4 teaspoons garlic powder', '4 teaspoons onion flakes']|Preheat the oven to 375 degrees F (190 degrees C).Place chicken thighs in a baking dish; season both sides with garlic powder and onion flakes.Bake in the preheated oven until no longer pink at the bone and juices run clear, about 30 minutes. An instant-read thermometer inserted into thickest part of thigh, near the bone, should read 165 degrees F (74 degrees C).|162 kcal|{'calories': '162 kcal', 'carbohydrateContent': '3 g', 'cholesterolContent': '69 mg', 'fiberContent': '0 g', 'proteinContent': '20 g', 'saturatedFatContent': '2 g', 'sodiumContent': '58 mg', 'sugarContent': '1 g', 'fatContent': '8 g', 'unsaturatedFatContent': '0 g'}|Dinner
Chicken Cordon Bleu|45|4 servings|['nonstick cooking spray', '4 skinless, boneless chicken breast halves', '¼ teaspoon salt', '⅛ teaspoon ground black pepper', '6 slices Swiss cheese', '4 slices cooked ham', '½ cup seasoned bread crumbs']|Gather all ingredients.Preheat oven to 350 degrees F (175 degrees C). Coat a 7x11-inch baking dish with nonstick cooking spray.Pound chicken breasts to 1/4 inch thickness.Sprinkle each piece of chicken on both sides with salt and pepper. Place 1 Swiss cheese slice and 1 ham slice on top of each breast.Roll up each breast and secure with toothpicks.Place in the prepared baking dish and sprinkle chicken evenly with bread crumbs.Bake in the preheated oven until chicken is no longer pink, 30 to 35 minutes.Remove from the oven, and place 1/2 Swiss cheese slice on top of each breast.Return to the oven until cheese has melted, 3 to 5 minutes. Remove toothpicks and serve immediately.|419 kcal|{'calories': '419 kcal', 'carbohydrateContent': '13 g', 'cholesterolContent': '124 mg', 'fiberContent': '1 g', 'proteinContent': '46 g', 'saturatedFatContent': '10 g', 'sodiumContent': '932 mg', 'sugarContent': '1 g', 'fatContent': '19 g', 'unsaturatedFatContent': '0 g'}|Dinner
Fluffy Microwave Scrambled Eggs|10|2 servings|['4 eggs', '¼ cup milk', '⅛ teaspoon salt']|Gather all ingredients.Break the eggs into a microwave-proof mixing bowl. Add milk and salt; mix well.Pop the bowl into the microwave and cook on high power for 30 seconds. Remove bowl, beat eggs very well, scraping down the sides of the bowl, and return to the microwave for another 30 seconds.Repeat this pattern, stirring every 30 seconds for up to 2 1/2 minutes. Stop when eggs have the consistency you desire.Serve warm and enjoy!|141 kcal|{'calories': '141 kcal', 'carbohydrateContent': '2 g', 'cholesterolContent': '330 mg', 'proteinContent': '12 g', 'saturatedFatContent': '3 g', 'sodiumContent': '281 mg', 'sugarContent': '2 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}|Breakfast
